Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Home Team Initials,Away Team Initials
1990,6/10/1990,Group D,Germany,4,1,Yugoslavia, ,GER,YUG
1990,6/11/1990,Group C,Costa Rica,1,0,Scotland, ,CRC,SCO
1990,6/11/1990,Group F,England,1,1,Republic of Ireland, ,ENG,IRL
1990,6/12/1990,Group E,Belgium,2,0,Korea Republic, ,BEL,KOR
1990,6/12/1990,Group F,Netherlands,1,1,Egypt, ,NED,EGY
1990,6/13/1990,Group E,Uruguay,0,0,Spain, ,URU,ESP
1990,6/13/1990,Group B,Argentina,2,0,Soviet Union, ,ARG,URS
1990,6/14/1990,Group B,Cameroon,2,1,Romania, ,CMR,ROU
1990,6/14/1990,Group D,Yugoslavia,1,0,Colombia, ,YUG,COL
1990,6/14/1990,Group A,Italy,1,0,USA, ,ITA,USA
1990,6/15/1990,Group A,Austria,0,1,Czechoslovakia, ,AUT,TCH
1990,6/15/1990,Group D,Germany,5,1,United Arab Emirates, ,GER,UAE
1990,6/16/1990,Group C,Brazil,1,0,Costa Rica, ,BRA,CRC
1990,6/16/1990,Group C,Sweden,1,2,Scotland, ,SWE,SCO
1990,6/16/1990,Group F,England,0,0,Netherlands, ,ENG,NED
1990,6/17/1990,Group F,Republic of Ireland,0,0,Egypt, ,IRL,EGY
1990,6/17/1990,Group E,Korea Republic,1,3,Spain, ,KOR,ESP
1990,6/17/1990,Group E,Belgium,3,1,Uruguay, ,BEL,URU
1990,6/18/1990,Group B,Argentina,1,1,Romania, ,ARG,ROU
1990,6/18/1990,Group B,Cameroon,0,4,Soviet Union, ,CMR,URS
1990,6/19/1990,Group D,Germany,1,1,Colombia, ,GER,COL
1990,6/19/1990,Group D,Yugoslavia,4,1,United Arab Emirates, ,YUG,UAE
1990,6/19/1990,Group A,Italy,2,0,Czechoslovakia, ,ITA,TCH
1990,6/19/1990,Group A,Austria,2,1,USA, ,AUT,USA
1990,6/20/1990,Group C,Brazil,1,0,Scotland, ,BRA,SCO
1990,6/20/1990,Group C,Sweden,1,2,Costa Rica, ,SWE,CRC
1990,6/21/1990,Group E,Korea Republic,0,1,Uruguay, ,KOR,URU
1990,6/21/1990,Group E,Belgium,1,2,Spain, ,BEL,ESP
1990,6/21/1990,Group F,Republic of Ireland,1,1,Netherlands, ,IRL,NED
1990,6/21/1990,Group F,England,1,0,Egypt, ,ENG,EGY
1990,6/23/1990,Round of 16,Cameroon,2,1,Colombia,Cameroon win after extra time ,CMR,COL
1990,6/23/1990,Round of 16,Czechoslovakia,4,1,Costa Rica, ,TCH,CRC
1990,6/24/1990,Round of 16,Brazil,0,1,Argentina, ,BRA,ARG
1990,6/24/1990,Round of 16,Germany,2,1,Netherlands, ,GER,NED
1990,6/25/1990,Round of 16,Republic of Ireland,0,0,Romania,Republic of Ireland win on penalties (5 - 4) ,IRL,ROU
1990,6/25/1990,Round of 16,Italy,2,0,Uruguay, ,ITA,URU
